,querry_searched,ecommerce_website,product_name,product_price,product_rating,rating_count,poduct_image_url,product_url,reviews_count,index
669,Iphone 13,Flipkart,"APPLE iPhone 6 Plus (Silver, 128 GB)",48999.0,4.5,1673.0,https://rukminim1.flixcart.com/image/312/312/mobile/m/q/k/apple-iphone-6-plus-original-imaeymdqartzwz76.jpeg?q=70,/apple-iphone-6-plus-silver-128-gb/p/itmefjg7zfyh7qd7?pid=MOBEYHZ2RVZHCMQK&lid=LSTMOBEYHZ2RVZHCMQK0PMKMP&marketplace=FLIPKART&q=Iphone+13&store=tyy%2F4io&srno=s_15_340&otracker=search&fm=organic&iid=6d4c2159-2012-4968-ab76-c31aa5070adc.MOBEYHZ2RVZHCMQK.SEARCH&ppt=None&ppn=None&ssid=yl3ngiud400000001674813253319&qH=011b952b9e781a2a,200,669
670,Iphone 13,Flipkart,"APPLE iPhone XS Max (Silver, 64 GB)",109900.0,4.6,1454.0,https://rukminim1.flixcart.com/image/312/312/jm9hfgw0/mobile/c/2/j/apple-iphone-xs-max-mt542hn-a-original-imaf97f6n9eg9be4.jpeg?q=70,/apple-iphone-xs-max-silver-64-gb/p/itmf944ehzsh7emx?pid=MOBF944E2XAHW8V5&lid=LSTMOBF944E2XAHW8V5WEPOM1&marketplace=FLIPKART&q=Iphone+13&store=tyy%2F4io&srno=s_15_341&otracker=search&fm=organic&iid=6d4c2159-2012-4968-ab76-c31aa5070adc.MOBF944E2XAHW8V5.SEARCH&ppt=None&ppn=None&ssid=yl3ngiud400000001674813253319&qH=011b952b9e781a2a,147,670
671,Iphone 13,Flipkart,"APPLE iPhone 11 Pro Max (Silver, 64 GB)",117100.0,4.7,1097.0,https://rukminim1.flixcart.com/image/312/312/k2jbyq80pkrrdj/mobile-refurbished/k/6/h/iphone-11-pro-max-64-b-mwhf2hn-a-apple-0-original-imafkg2ftqfvr9sf.jpeg?q=70,/apple-iphone-11-pro-max-silver-64-gb/p/itm9cd54210a8047?pid=MOBFKCTSTETGYFKZ&lid=LSTMOBFKCTSTETGYFKZZHWDT6&marketplace=FLIPKART&q=Iphone+13&store=tyy%2F4io&srno=s_15_342&otracker=search&fm=organic&iid=6d4c2159-2012-4968-ab76-c31aa5070adc.MOBFKCTSTETGYFKZ.SEARCH&ppt=None&ppn=None&ssid=yl3ngiud400000001674813253319&qH=011b952b9e781a2a,99,671
672,Iphone 13,Flipkart,"APPLE iPhone X (Space Gray, 256 GB)",106900.0,4.6,10965.0,https://rukminim1.flixcart.com/image/312/312/j9d3bm80/mobile/g/g/q/apple-iphone-x-mqa52hn-a-original-imaeyzyfbgcwyhwg.jpeg?q=70,/apple-iphone-x-space-gray-256-gb/p/itmf3syz84rypvwu?pid=MOBEXRGVCYGG2KXA&lid=LSTMOBEXRGVCYGG2KXANMBZHB&marketplace=FLIPKART&q=Iphone+13&store=tyy%2F4io&srno=s_15_343&otracker=search&fm=organic&iid=6d4c2159-2012-4968-ab76-c31aa5070adc.MOBEXRGVCYGG2KXA.SEARCH&ppt=None&ppn=None&ssid=yl3ngiud400000001674813253319&qH=011b952b9e781a2a,867,672
673,Iphone 13,Flipkart,"APPLE iPhone 7 (Rose Gold, 128 GB)",34900.0,4.5,95081.0,https://rukminim1.flixcart.com/image/312/312/k12go7k0/mobile/e/y/z/apple-iphone-7-mn952hn-a-original-imafkqe8ptsnpd6m.jpeg?q=70,/apple-iphone-7-rose-gold-128-gb/p/itmen6daxthjmcx3?pid=MOBEMK62MSKHHEYZ&lid=LSTMOBEMK62MSKHHEYZVUVMBD&marketplace=FLIPKART&q=Iphone+13&store=tyy%2F4io&srno=s_15_344&otracker=search&fm=organic&iid=6d4c2159-2012-4968-ab76-c31aa5070adc.MOBEMK62MSKHHEYZ.SEARCH&ppt=None&ppn=None&ssid=yl3ngiud400000001674813253319&qH=011b952b9e781a2a,"9,194",673
674,Iphone 13,Flipkart,"APPLE iPhone 7 (Jet Black, 128 GB)",34900.0,4.5,95081.0,https://rukminim1.flixcart.com/image/312/312/mobile/m/t/8/apple-iphone-7-na-original-imaemzfjmrwpksbu.jpeg?q=70,/apple-iphone-7-jet-black-128-gb/p/itmen6dakdgkpy6n?pid=MOBEMK62VCQ2UMT8&lid=LSTMOBEMK62VCQ2UMT8IY1JYN&marketplace=FLIPKART&q=Iphone+13&store=tyy%2F4io&srno=s_15_345&otracker=search&fm=organic&iid=6d4c2159-2012-4968-ab76-c31aa5070adc.MOBEMK62VCQ2UMT8.SEARCH&ppt=None&ppn=None&ssid=yl3ngiud400000001674813253319&qH=011b952b9e781a2a,"9,194",674
675,Iphone 13,Flipkart,"APPLE iPhone 7 Plus (PRODUCT) (Red, 256 GB)",85400.0,5.0,3.0,https://rukminim1.flixcart.com/image/312/312/j1b0xow0/mobile/u/d/p/apple-iphone-7-plus-mn4v2hn-a-original-imaeswuhkxd62sr9.jpeg?q=70,/apple-iphone-7-plus-product-red-256-gb/p/itmesttfcncuf8z4?pid=MOBESTTFTDED3UDP&lid=LSTMOBESTTFTDED3UDPPDXNBI&marketplace=FLIPKART&q=Iphone+13&store=tyy%2F4io&srno=s_15_346&otracker=search&fm=organic&iid=6d4c2159-2012-4968-ab76-c31aa5070adc.MOBESTTFTDED3UDP.SEARCH&ppt=None&ppn=None&ssid=yl3ngiud400000001674813253319&qH=011b952b9e781a2a,3,675
676,Iphone 13,Flipkart,"APPLE iPhone X (Silver, 256 GB)",106900.0,4.6,10965.0,https://rukminim1.flixcart.com/image/312/312/j9d3bm80/mobile/g/x/j/apple-iphone-x-mqa62hn-a-original-imaeyzyfdzhfckef.jpeg?q=70,/apple-iphone-x-silver-256-gb/p/itmexrgv4cgmrxxp?pid=MOBEXRGVVTMF9FYV&lid=LSTMOBEXRGVVTMF9FYVKHKOAY&marketplace=FLIPKART&q=Iphone+13&store=tyy%2F4io&srno=s_15_347&otracker=search&fm=organic&iid=6d4c2159-2012-4968-ab76-c31aa5070adc.MOBEXRGVVTMF9FYV.SEARCH&ppt=None&ppn=None&ssid=yl3ngiud400000001674813253319&qH=011b952b9e781a2a,867,676
677,Iphone 13,Flipkart,"APPLE iPhone 6 Plus (Space Grey, 64 GB)",48999.0,4.5,1673.0,https://rukminim1.flixcart.com/image/312/312/mobile/h/z/d/apple-iphone-6-plus-original-imaeymdqfzw2zzhw.jpeg?q=70,/apple-iphone-6-plus-space-grey-64-gb/p/itmefjg7cua7jgsc?pid=MOBEYHZ2Z8N6RDFE&lid=LSTMOBEYHZ2Z8N6RDFEHXV6ZI&marketplace=FLIPKART&q=Iphone+13&store=tyy%2F4io&srno=s_15_348&otracker=search&fm=organic&iid=6d4c2159-2012-4968-ab76-c31aa5070adc.MOBEYHZ2Z8N6RDFE.SEARCH&ppt=None&ppn=None&ssid=yl3ngiud400000001674813253319&qH=011b952b9e781a2a,200,677
678,Iphone 13,Flipkart,"APPLE iPhone 7 (Black, 256 GB)",74400.0,4.5,95081.0,https://rukminim1.flixcart.com/image/312/312/k12go7k0/mobile/7/e/e/apple-iphone-7-mn8x2hn-a-original-imafkqcqhzxuvcpd.jpeg?q=70,/apple-iphone-7-black-256-gb/p/itmen6das2kghbqf?pid=MOBEMK62MBVHSRWV&lid=LSTMOBEMK62MBVHSRWVYZ3QPV&marketplace=FLIPKART&q=Iphone+13&store=tyy%2F4io&srno=s_15_349&otracker=search&fm=organic&iid=6d4c2159-2012-4968-ab76-c31aa5070adc.MOBEMK62MBVHSRWV.SEARCH&ppt=None&ppn=None&ssid=yl3ngiud400000001674813253319&qH=011b952b9e781a2a,"9,194",678
679,Iphone 13,Flipkart,"APPLE iPhone 8 Plus (PRODUCT)RED (Red, 256 GB)",84900.0,4.6,267.0,https://rukminim1.flixcart.com/image/312/312/jgffp8w0/mobile/y/4/8/apple-iphone-8-plus-product-red-special-edition-mrt72hn-a-original-imaf4gueermyhqg8.jpeg?q=70,/apple-iphone-8-plus-product-red-red-256-gb/p/itmf46h3ygtukunz?pid=MOBF46H3VNSGXGPU&lid=LSTMOBF46H3VNSGXGPUHCPGUO&marketplace=FLIPKART&q=Iphone+13&store=tyy%2F4io&srno=s_15_350&otracker=search&fm=organic&iid=6d4c2159-2012-4968-ab76-c31aa5070adc.MOBF46H3VNSGXGPU.SEARCH&ppt=None&ppn=None&ssid=yl3ngiud400000001674813253319&qH=011b952b9e781a2a,23,679
680,Iphone 13,Flipkart,"APPLE iPhone 8 Plus (Gold, 256 GB)",84900.0,4.6,3439.0,https://rukminim1.flixcart.com/image/312/312/j7ksia80/mobile/u/z/b/apple-iphone-8-plus-mq8j2hn-a-original-imaexsfmnxjcfc8t.jpeg?q=70,/apple-iphone-8-plus-gold-256-gb/p/itmexrgvagh8wkws?pid=MOBEXRGVSTEBWUZB&lid=LSTMOBEXRGVSTEBWUZB8MC6A2&marketplace=FLIPKART&q=Iphone+13&store=tyy%2F4io&srno=s_15_351&otracker=search&fm=organic&iid=6d4c2159-2012-4968-ab76-c31aa5070adc.MOBEXRGVSTEBWUZB.SEARCH&ppt=None&ppn=None&ssid=yl3ngiud400000001674813253319&qH=011b952b9e781a2a,355,680
681,Iphone 13,Flipkart,"APPLE iPhone 7 Plus (Silver, 128 GB)",42900.0,4.5,29796.0,https://rukminim1.flixcart.com/image/312/312/k13w4280/mobile/z/z/j/apple-iphone-7-plus-mn4x2hn-a-original-imafkqfgshtythwf.jpeg?q=70,/apple-iphone-7-plus-silver-128-gb/p/itmen6dasgrgvdwq?pid=MOBEMK62G6SVRKGB&lid=LSTMOBEMK62G6SVRKGBIBKRDR&marketplace=FLIPKART&q=Iphone+13&store=tyy%2F4io&srno=s_15_352&otracker=search&fm=organic&iid=6d4c2159-2012-4968-ab76-c31aa5070adc.MOBEMK62G6SVRKGB.SEARCH&ppt=None&ppn=None&ssid=yl3ngiud400000001674813253319&qH=011b952b9e781a2a,"2,997",681
682,Iphone 13,Flipkart,"APPLE iPhone XR (Blue, 128 GB)",52900.0,4.6,100633.0,https://rukminim1.flixcart.com/image/312/312/k0lbdzk0pkrrdj/mobile/f/z/3/apple-iphone-xr-mrya2hn-a-original-imafbhyvbz2hmaxd.jpeg?q=70,/apple-iphone-xr-blue-128-gb/p/itmc4f5fd912e452?pid=MOBFWQ6B2DUAAA6S&lid=LSTMOBFWQ6B2DUAAA6SSZK4A1&marketplace=FLIPKART&q=Iphone+13&store=tyy%2F4io&srno=s_15_353&otracker=search&fm=organic&iid=6d4c2159-2012-4968-ab76-c31aa5070adc.MOBFWQ6B2DUAAA6S.SEARCH&ppt=None&ppn=None&ssid=yl3ngiud400000001674813253319&qH=011b952b9e781a2a,"8,568",682
683,Iphone 13,Flipkart,"APPLE iPhone X (Space Gray, 64 GB)",91900.0,4.6,10965.0,https://rukminim1.flixcart.com/image/312/312/j9d3bm80/mobile/k/x/a/apple-iphone-x-mqa82hn-a-original-imaeyysgmypxmazk.jpeg?q=70,/apple-iphone-x-space-gray-64-gb/p/itmexrgv6hctyrav?pid=MOBEXRGVCMGVCGGQ&lid=LSTMOBEXRGVCMGVCGGQFLD1LA&marketplace=FLIPKART&q=Iphone+13&store=tyy%2F4io&srno=s_15_354&otracker=search&fm=organic&iid=6d4c2159-2012-4968-ab76-c31aa5070adc.MOBEXRGVCMGVCGGQ.SEARCH&ppt=None&ppn=None&ssid=yl3ngiud400000001674813253319&qH=011b952b9e781a2a,867,683
684,Iphone 13,Flipkart,"APPLE iPhone 7 Plus (Gold, 128 GB)",42900.0,4.5,29796.0,https://rukminim1.flixcart.com/image/312/312/k13w4280/mobile/p/p/4/apple-iphone-7-plus-mn4q2hn-a-original-imafkqfhjzsvghb8.jpeg?q=70,/apple-iphone-7-plus-gold-128-gb/p/itmemn5wz3hm6gjt?pid=MOBEMK62QFEVEPP4&lid=LSTMOBEMK62QFEVEPP44S5PQP&marketplace=FLIPKART&q=Iphone+13&store=tyy%2F4io&srno=s_15_355&otracker=search&fm=organic&iid=6d4c2159-2012-4968-ab76-c31aa5070adc.MOBEMK62QFEVEPP4.SEARCH&ppt=None&ppn=None&ssid=yl3ngiud400000001674813253319&qH=011b952b9e781a2a,"2,997",684
685,Iphone 13,Flipkart,"APPLE iPhone 6 (Space Grey, 64 GB)",44999.0,4.4,145543.0,https://rukminim1.flixcart.com/image/312/312/mobile/f/2/j/apple-iphone-6-original-imaeymdqs5gm5xkz.jpeg?q=70,/apple-iphone-6-space-grey-64-gb/p/itmefjg76z9msd4g?pid=MOBEYHZ28FRMNDCW&lid=LSTMOBEYHZ28FRMNDCWO9QQEN&marketplace=FLIPKART&q=Iphone+13&store=tyy%2F4io&srno=s_15_356&otracker=search&fm=organic&iid=6d4c2159-2012-4968-ab76-c31aa5070adc.MOBEYHZ28FRMNDCW.SEARCH&ppt=None&ppn=None&ssid=yl3ngiud400000001674813253319&qH=011b952b9e781a2a,"16,250",685
686,Iphone 13,Flipkart,"APPLE iPhone 6s Plus (Silver, 32 GB)",34900.0,4.4,18828.0,https://rukminim1.flixcart.com/image/312/312/j7qi9ow0/mobile/p/q/h/apple-iphone-6s-plus-mn2w2hn-a-original-imaexvxuaeuwxpsf.jpeg?q=70,/apple-iphone-6s-plus-silver-32-gb/p/itmen2yyfzgggn6j?pid=MOBEN2YY7FHXEPQH&lid=LSTMOBEN2YY7FHXEPQHXFLPL4&marketplace=FLIPKART&q=Iphone+13&store=tyy%2F4io&srno=s_15_357&otracker=search&fm=organic&iid=6d4c2159-2012-4968-ab76-c31aa5070adc.MOBEN2YY7FHXEPQH.SEARCH&ppt=None&ppn=None&ssid=yl3ngiud400000001674813253319&qH=011b952b9e781a2a,"2,378",686
687,Iphone 13,Flipkart,"APPLE iPhone XR (Yellow, 64 GB)",47900.0,4.6,100633.0,https://rukminim1.flixcart.com/image/312/312/k0lbdzk0pkrrdj/mobile/y/z/f/apple-iphone-xr-mry72hn-a-original-imafbhywvgshhwhd.jpeg?q=70,/apple-iphone-xr-yellow-64-gb/p/itmbaf40d1bd0577?pid=MOBFWQ6BYTAD3QPM&lid=LSTMOBFWQ6BYTAD3QPMF4BZEA&marketplace=FLIPKART&q=Iphone+13&store=tyy%2F4io&srno=s_15_358&otracker=search&fm=organic&iid=6d4c2159-2012-4968-ab76-c31aa5070adc.MOBFWQ6BYTAD3QPM.SEARCH&ppt=None&ppn=None&ssid=yl3ngiud400000001674813253319&qH=011b952b9e781a2a,"8,568",687
688,Iphone 13,Flipkart,"APPLE iPhone 7 Plus (Rose Gold, 128 GB)",42900.0,4.5,29796.0,https://rukminim1.flixcart.com/image/312/312/k13w4280/mobile/x/y/m/apple-iphone-7-plus-mn4u2hn-a-original-imafkqfhmhyzy5xz.jpeg?q=70,/apple-iphone-7-plus-rose-gold-128-gb/p/itmen6dahgfdzted?pid=MOBEMK62VS979XYM&lid=LSTMOBEMK62VS979XYM6V78F8&marketplace=FLIPKART&q=Iphone+13&store=tyy%2F4io&srno=s_15_359&otracker=search&fm=organic&iid=6d4c2159-2012-4968-ab76-c31aa5070adc.MOBEMK62VS979XYM.SEARCH&ppt=None&ppn=None&ssid=yl3ngiud400000001674813253319&qH=011b952b9e781a2a,"2,997",688
689,Iphone 13,Flipkart,"APPLE iPhone 7 Plus (Gold, 32 GB)",37900.0,4.5,29796.0,https://rukminim1.flixcart.com/image/312/312/k13w4280/mobile/p/p/4/apple-iphone-7-plus-mn4q2hn-a-original-imafkqfhjzsvghb8.jpeg?q=70,/apple-iphone-7-plus-gold-32-gb/p/itmen6daschjypr3?pid=MOBEMK62YVHPH7MV&lid=LSTMOBEMK62YVHPH7MVKD9401&marketplace=FLIPKART&q=Iphone+13&store=tyy%2F4io&srno=s_15_360&otracker=search&fm=organic&iid=6d4c2159-2012-4968-ab76-c31aa5070adc.MOBEMK62YVHPH7MV.SEARCH&ppt=None&ppn=None&ssid=yl3ngiud400000001674813253319&qH=011b952b9e781a2a,"2,997",689
690,Iphone 13,Flipkart,"APPLE iPhone 6 Plus (Silver, 16 GB)",40999.0,4.5,1673.0,https://rukminim1.flixcart.com/image/312/312/mobile/m/q/k/apple-iphone-6-plus-original-imaeymdqartzwz76.jpeg?q=70,/apple-iphone-6-plus-silver-16-gb/p/itmefjg76vd4zxyb?pid=MOBEYHZ2YBFZTV3S&lid=LSTMOBEYHZ2YBFZTV3SED1FWX&marketplace=FLIPKART&q=Iphone+13&store=tyy%2F4io&srno=s_16_361&otracker=search&fm=organic&iid=0c4851bc-7ad3-4d63-9f8e-fe65daa98672.MOBEYHZ2YBFZTV3S.SEARCH&ppt=None&ppn=None&ssid=zslkke7o8g0000001674813255675&qH=011b952b9e781a2a,200,690
